Date & Time, Temprature *C, Humidity %
[2021-12-23 01:52:09.577] ,26.3,48
[2021-12-23 01:52:11.599] ,26.3,48
[2021-12-23 01:52:13.634] ,26.4,48
[2021-12-23 01:52:15.656] ,26.3,48
[2021-12-23 01:52:17.685] ,26.3,48
[2021-12-23 01:52:19.712] ,26.4,48
[2021-12-23 01:52:21.743] ,26.3,48
[2021-12-23 01:52:23.771] ,26.3,48
[2021-12-23 01:52:25.799] ,26.3,48
[2021-12-23 01:52:27.826] ,26.3,48
[2021-12-23 01:52:29.857] ,26.3,48
[2021-12-23 01:52:31.885] ,26.4,48
[2021-12-23 01:52:33.908] ,26.3,47
[2021-12-23 01:52:35.938] ,26.3,47
[2021-12-23 01:52:37.969] ,26.3,48
[2021-12-23 01:52:39.998] ,26.3,48
[2021-12-23 01:52:42.021] ,26.3,48
[2021-12-23 01:52:44.052] ,26.3,48
[2021-12-23 01:52:46.074] ,26.3,48
[2021-12-23 01:52:48.105] ,26.3,48
[2021-12-23 01:52:50.134] ,26.3,48
[2021-12-23 01:52:52.157] ,26.3,48
[2021-12-23 01:52:54.188] ,26.3,48
[2021-12-23 01:52:56.219] ,26.3,48
[2021-12-23 01:52:58.242] ,26.3,48
[2021-12-23 01:53:00.273] ,26.3,48
[2021-12-23 01:53:02.295] ,26.3,48
[2021-12-23 01:53:04.327] ,26.3,48
[2021-12-23 01:53:06.349] ,26.3,48
[2021-12-23 01:53:08.380] ,26.3,48
[2021-12-23 01:53:10.411] ,26.3,48
[2021-12-23 01:53:12.442] ,26.3,48
[2021-12-23 01:53:14.471] ,26.3,48
[2021-12-23 01:53:16.494] ,26.3,48
[2021-12-23 01:53:18.524] ,26.3,48
[2021-12-23 01:53:20.553] ,26.3,48
[2021-12-23 01:53:22.575] ,26.3,48
[2021-12-23 01:53:24.606] ,26.3,48
[2021-12-23 01:53:26.637] ,26.3,48
[2021-12-23 01:53:28.660] ,26.3,48
[2021-12-23 01:53:30.691] ,26.3,48
[2021-12-23 01:53:32.720] ,26.3,48
[2021-12-23 01:53:34.741] ,26.3,48
[2021-12-23 01:53:36.762] ,26.3,48
[2021-12-23 01:53:38.801] ,26.3,48
[2021-12-23 01:53:40.825] ,26.3,48
[2021-12-23 01:53:42.856] ,26.3,48
[2021-12-23 01:53:44.880] ,26.3,48
[2021-12-23 01:53:46.909] ,26.3,48
[2021-12-23 01:53:48.939] ,26.3,48
[2021-12-23 01:53:50.961] ,26.3,48
[2021-12-23 01:53:52.984] ,26.3,48
[2021-12-23 01:53:55.031] ,26.3,48
[2021-12-23 01:53:57.056] ,26.3,48
[2021-12-23 01:53:59.080] ,26.3,48
[2021-12-23 01:54:01.109] ,26.3,48
[2021-12-23 01:54:03.130] ,26.3,48
[2021-12-23 01:54:05.164] ,26.3,48
[2021-12-23 01:54:07.186] ,26.3,48
[2021-12-23 01:54:09.223] ,26.3,48
[2021-12-23 01:54:11.246] ,26.3,48
[2021-12-23 01:54:13.275] ,26.3,48
[2021-12-23 01:54:15.303] ,26.3,48
[2021-12-23 01:54:17.327] ,26.3,48
[2021-12-23 01:54:19.357] ,26.3,48
[2021-12-23 01:54:21.386] ,26.3,48
[2021-12-23 01:54:23.410] ,26.3,48
[2021-12-23 01:54:25.442] ,26.3,48
[2021-12-23 01:54:27.463] ,26.3,48
[2021-12-23 01:54:29.486] ,26.3,47
[2021-12-23 01:54:31.526] ,26.3,48
[2021-12-23 01:54:33.547] ,26.3,48
[2021-12-23 01:54:35.577] ,26.3,48
[2021-12-23 01:54:37.609] ,26.3,48
[2021-12-23 01:54:39.640] ,26.3,48
[2021-12-23 01:54:41.669] ,26.3,47
[2021-12-23 01:54:43.684] ,26.3,47
[2021-12-23 01:54:45.716] ,26.3,47
[2021-12-23 01:54:47.743] ,26.3,48
[2021-12-23 01:54:49.780] ,26.3,47
[2021-12-23 01:54:51.805] ,26.3,47
[2021-12-23 01:54:53.828] ,26.3,47
[2021-12-23 01:54:55.861] ,26.3,47
[2021-12-23 01:54:57.888] ,26.3,47
[2021-12-23 01:54:59.916] ,26.3,47
[2021-12-23 01:55:01.943] ,26.3,47
[2021-12-23 01:55:03.971] ,26.3,47
[2021-12-23 01:55:05.999] ,26.3,47
[2021-12-23 01:55:08.026] ,26.3,47
[2021-12-23 01:55:10.058] ,26.3,47
[2021-12-23 01:55:12.085] ,26.3,47
[2021-12-23 01:55:14.113] ,26.3,47
[2021-12-23 01:55:16.142] ,26.3,47
[2021-12-23 01:55:18.168] ,26.3,47
[2021-12-23 01:55:20.196] ,26.3,47
[2021-12-23 01:55:22.225] ,26.3,47
[2021-12-23 01:55:24.251] ,26.4,47
[2021-12-23 01:55:26.279] ,26.3,47
[2021-12-23 01:55:28.307] ,26.3,47
[2021-12-23 01:55:30.334] ,26.3,47
[2021-12-23 01:55:32.359] ,26.3,47
[2021-12-23 01:55:34.387] ,26.3,48
[2021-12-23 01:55:36.412] ,26.3,48
[2021-12-23 01:55:38.443] ,26.3,48
[2021-12-23 01:55:40.474] ,26.3,48
[2021-12-23 01:55:42.504] ,26.3,48
[2021-12-23 01:55:44.530] ,26.3,48
[2021-12-23 01:55:46.560] ,26.3,48
[2021-12-23 01:55:48.585] ,26.3,48
[2021-12-23 01:55:50.615] ,26.3,48
[2021-12-23 01:55:52.637] ,26.3,48
[2021-12-23 01:55:54.670] ,26.3,48
[2021-12-23 01:55:56.695] ,26.3,48
[2021-12-23 01:55:58.725] ,26.3,48
[2021-12-23 01:56:00.750] ,26.3,48
[2021-12-23 01:56:02.780] ,26.3,48
[2021-12-23 01:56:04.807] ,26.3,48
[2021-12-23 01:56:06.834] ,26.3,48
[2021-12-23 01:56:08.863] ,26.3,48
[2021-12-23 01:56:10.891] ,26.3,48
[2021-12-23 01:56:12.920] ,26.3,48
[2021-12-23 01:56:14.946] ,26.3,48
[2021-12-23 01:56:16.973] ,26.3,48
[2021-12-23 01:56:18.995] ,26.3,48
[2021-12-23 01:56:21.026] ,26.3,48
[2021-12-23 01:56:23.056] ,26.3,48
[2021-12-23 01:56:25.084] ,26.3,48
[2021-12-23 01:56:27.103] ,26.3,48
[2021-12-23 01:56:29.143] ,26.3,48
[2021-12-23 01:56:31.171] ,26.3,48
[2021-12-23 01:56:33.199] ,26.3,48
[2021-12-23 01:56:35.226] ,26.3,48
[2021-12-23 01:56:37.255] ,26.3,48
[2021-12-23 01:56:39.282] ,26.3,48
[2021-12-23 01:56:41.310] ,26.4,48
[2021-12-23 01:56:43.337] ,26.3,47
[2021-12-23 01:56:45.365] ,26.4,47
[2021-12-23 01:56:47.392] ,26.4,47
[2021-12-23 01:56:49.419] ,26.4,47
[2021-12-23 01:56:51.447] ,26.4,47
[2021-12-23 01:56:53.476] ,26.4,47
[2021-12-23 01:56:55.500] ,26.4,47
[2021-12-23 01:56:57.531] ,26.3,47
[2021-12-23 01:56:59.552] ,26.4,47
[2021-12-23 01:57:01.584] ,26.4,47
[2021-12-23 01:57:03.617] ,26.4,47
[2021-12-23 01:57:05.645] ,26.4,47
[2021-12-23 01:57:07.665] ,26.4,47
[2021-12-23 01:57:09.698] ,26.3,47
[2021-12-23 01:57:11.727] ,26.4,47
[2021-12-23 01:57:13.750] ,26.3,47
[2021-12-23 01:57:15.784] ,26.4,47
[2021-12-23 01:57:17.808] ,26.4,47
[2021-12-23 01:57:19.831] ,26.4,47
[2021-12-23 01:57:21.863] ,26.4,47
[2021-12-23 01:57:23.894] ,26.4,47
[2021-12-23 01:57:25.923] ,26.4,47
[2021-12-23 01:57:27.947] ,26.4,47
[2021-12-23 01:57:29.978] ,26.3,47
[2021-12-23 01:57:32.010] ,26.4,47
[2021-12-23 01:57:34.031] ,26.4,47
[2021-12-23 01:57:36.064] ,26.4,47
[2021-12-23 01:57:38.091] ,26.4,47
[2021-12-23 01:57:40.119] ,26.3,47
[2021-12-23 01:57:42.146] ,26.4,47
[2021-12-23 01:57:44.174] ,26.3,47
[2021-12-23 01:57:46.201] ,26.4,47
[2021-12-23 01:57:48.224] ,26.4,47
[2021-12-23 01:57:50.256] ,26.4,47
[2021-12-23 01:57:52.283] ,26.3,47
[2021-12-23 01:57:54.306] ,26.3,47
[2021-12-23 01:57:56.340] ,26.4,47
[2021-12-23 01:57:58.368] ,26.4,47
[2021-12-23 01:58:00.392] ,26.4,47
[2021-12-23 01:58:02.427] ,26.4,47
[2021-12-23 01:58:04.455] ,26.4,47
[2021-12-23 01:58:06.483] ,26.4,47
[2021-12-23 01:58:08.509] ,26.4,47
[2021-12-23 01:58:10.538] ,26.4,47
[2021-12-23 01:58:12.565] ,26.4,47
[2021-12-23 01:58:14.593] ,26.3,47
[2021-12-23 01:58:16.621] ,26.3,47
[2021-12-23 01:58:18.647] ,26.3,47
[2021-12-23 01:58:20.676] ,26.3,47
[2021-12-23 01:58:22.703] ,26.3,47
[2021-12-23 01:58:24.731] ,26.4,47
[2021-12-23 01:58:26.759] ,26.4,47
[2021-12-23 01:58:28.786] ,26.3,47
[2021-12-23 01:58:30.814] ,26.4,46
[2021-12-23 01:58:32.845] ,26.4,47
[2021-12-23 01:58:34.873] ,26.3,47
[2021-12-23 01:58:36.901] ,26.4,47
[2021-12-23 01:58:38.929] ,26.4,47
[2021-12-23 01:58:40.955] ,26.4,47
[2021-12-23 01:58:42.984] ,26.3,47
[2021-12-23 01:58:45.011] ,26.4,47
[2021-12-23 01:58:47.039] ,26.4,47
[2021-12-23 01:58:49.067] ,26.3,47
[2021-12-23 01:58:51.094] ,26.4,47
[2021-12-23 01:58:53.121] ,26.3,47
[2021-12-23 01:58:55.150] ,26.4,47
[2021-12-23 01:58:57.177] ,26.4,47
[2021-12-23 01:58:59.205] ,26.4,47
[2021-12-23 01:59:01.233] ,26.4,47
[2021-12-23 01:59:03.265] ,26.3,47
[2021-12-23 01:59:05.293] ,26.3,47
[2021-12-23 01:59:07.320] ,26.4,47
[2021-12-23 01:59:09.347] ,26.4,47
[2021-12-23 01:59:11.374] ,26.3,47
[2021-12-23 01:59:13.402] ,26.4,47
[2021-12-23 01:59:15.430] ,26.4,47
[2021-12-23 01:59:17.458] ,26.4,47
[2021-12-23 01:59:19.482] ,26.4,47
[2021-12-23 01:59:21.513] ,26.3,47
[2021-12-23 01:59:23.534] ,26.4,47
[2021-12-23 01:59:25.561] ,26.3,47
[2021-12-23 01:59:27.592] ,26.3,47
[2021-12-23 01:59:29.622] ,26.4,47
[2021-12-23 01:59:31.653] ,26.4,47
[2021-12-23 01:59:33.680] ,26.4,47
[2021-12-23 01:59:35.709] ,26.3,47
[2021-12-23 01:59:37.738] ,26.4,47
[2021-12-23 01:59:39.763] ,26.3,47
[2021-12-23 01:59:41.788] ,26.4,48
[2021-12-23 01:59:43.819] ,26.4,48
[2021-12-23 01:59:45.846] ,26.3,48
[2021-12-23 01:59:47.877] ,26.3,48
[2021-12-23 01:59:49.898] ,26.3,48
[2021-12-23 01:59:51.931] ,26.3,48
[2021-12-23 01:59:53.944] ,26.4,48
[2021-12-23 01:59:55.988] ,26.3,48
[2021-12-23 01:59:58.014] ,26.4,48
[2021-12-23 02:00:00.037] ,26.4,48
[2021-12-23 02:00:02.069] ,26.3,48
[2021-12-23 02:00:04.096] ,26.3,48
[2021-12-23 02:00:06.116] ,26.4,48
[2021-12-23 02:00:08.153] ,26.3,48
[2021-12-23 02:00:10.175] ,26.3,48
[2021-12-23 02:00:12.207] ,26.3,48
[2021-12-23 02:00:14.229] ,26.4,48
[2021-12-23 02:00:16.261] ,26.4,48
[2021-12-23 02:00:18.293] ,26.4,48
[2021-12-23 02:00:20.309] ,26.4,48
[2021-12-23 02:00:22.345] ,26.4,48
[2021-12-23 02:00:24.374] ,26.3,48
[2021-12-23 02:00:26.405] ,26.3,48
[2021-12-23 02:00:28.427] ,26.4,48
[2021-12-23 02:00:30.458] ,26.3,48
[2021-12-23 02:00:32.487] ,26.4,48
[2021-12-23 02:00:34.510] ,26.3,48
[2021-12-23 02:00:36.539] ,26.3,48
[2021-12-23 02:00:38.570] ,26.3,48
[2021-12-23 02:00:40.592] ,26.4,48
[2021-12-23 02:00:42.613] ,26.3,48
[2021-12-23 02:00:44.649] ,26.4,48
[2021-12-23 02:00:46.680] ,26.3,48
[2021-12-23 02:00:48.703] ,26.4,47
[2021-12-23 02:00:50.735] ,26.3,47
[2021-12-23 02:00:52.760] ,26.4,48
[2021-12-23 02:00:54.786] ,26.3,47
[2021-12-23 02:00:56.819] ,26.4,47
[2021-12-23 02:00:58.842] ,26.3,47
[2021-12-23 02:01:00.874] ,26.4,47
[2021-12-23 02:01:02.906] ,26.4,47
[2021-12-23 02:01:04.929] ,26.4,47
[2021-12-23 02:01:06.961] ,26.3,47
[2021-12-23 02:01:08.986] ,26.4,47
[2021-12-23 02:01:11.015] ,26.4,47
[2021-12-23 02:01:13.042] ,26.4,47
[2021-12-23 02:01:15.062] ,26.4,47
[2021-12-23 02:01:17.101] ,26.4,47
[2021-12-23 02:01:19.127] ,26.3,47
[2021-12-23 02:01:21.148] ,26.4,47
[2021-12-23 02:01:23.172] ,26.3,47
[2021-12-23 02:01:25.209] ,26.3,47
